LAN,1544994499,1544997704,32,-17
OUV,1544992831,1544998384,96,177
BC,1544999128,1544999248,93,-418
GK,1544995378,1545000078,26,26
L,1544998711,1545000280,25,216
MVW,1544994963,1545001025,52,775
DEDN,1544995777,1545001233,66,-640
DOSV,1544998037,1545001693,73,394
ITT,1544992356,1545002023,53,25
TNY,1544995558,1545002832,97,-607
NUB,1544997795,1545003048,13,-334
VYGG,1545002829,1545003576,71,930
DS,1545003276,1545003649,8,195
TUH,1545000478,1545003968,76,-813
OIE,1544997050,1545004433,56,677
KXJ,1544998394,1545004668,73,-37
F,1544998395,1545004686,32,364
GSI,1545001155,1545005368,33,269
AJCK,1544999246,1545005753,76,731
